language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (Australian),kitchen,"kitchen, kitchens",-7.156922077132472,9.432290052680509,nouns,furniture_rooms,kitchen
English (Australian),knee,"knee, kneeing, knees, kneten",-7.654820466397003,7.36460989291178,nouns,body_parts,knee
English (Australian),knife,"knife, knifes",-8.23438415211869,6.985428051001821,nouns,household,knife
English (Australian),knock,"knock, knocked, knocking, knocks",-6.925633349353861,7.751659700024588,verbs,action_words,knock
English (Australian),know,"knew, know, knowed, knowing, known, knows",-3.8708509475187007,7.848113732214858,verbs,action_words,know
English (Australian),koala,"koala, koalas",-9.80719447756787,6.493392070484582,nouns,animals,koala
English (Australian),ladder,"ladder, ladders",-7.7321485473610725,9.379063360881542,nouns,outside,ladder
English (Australian),lady,"ladies, lady, ladys",-6.816518826858347,7.734126984126984,other,people,lady
English (Australian),lamb,"lamb, lambs",-8.195128442727501,6.3353765323993,nouns,animals,lamb
English (Australian),lamp,"lamp, lamps",-9.050331482621818,6.319587628865979,nouns,household,lamp
English (Australian),last,"last, lasted, lasting, lasts",-6.223797378892599,9.914452839385815,adjectives,descriptive_words,last
English (Australian),lawn mower,lawn+mower,-13.157098564842475,8.428571428571429,nouns,outside,lawn mower
English (Australian),leg,"leg, legged, legs",-6.713961442829736,7.37425387982491,nouns,body_parts,leg
English (Australian),lick,"lick, licked, licks",-8.733750060606688,7.626126126126126,verbs,action_words,lick
English (Australian),light (object),"light, lighted, lighter, lightest, lights",-6.648515734345483,7.734998136414461,nouns,household,light
English (Australian),like,"like, liked, likes, liking",-3.495507429608995,8.283423949817308,verbs,action_words,like
English (Australian),lion,"lion, lions",-7.10824993491526,6.561097992916174,nouns,animals,lion
English (Australian),lip,"lip, lipped, lips",-8.778201823177522,6.591836734693878,nouns,body_parts,lips
English (Australian),listen,"listen, listened, listens",-6.905676493297568,6.283923837069174,verbs,action_words,listen
English (Australian),little (description),"little, littles, littlest, tiny",-4.278078722347903,8.82767205808103,adjectives,descriptive_words,little
English (Australian),little (description),"little, littles, littlest, tiny",-4.278078722347903,8.82767205808103,adjectives,descriptive_words,tiny
English (Australian),living room,living,-8.418709535068162,10.99671412924425,nouns,furniture_rooms,living/lounge room
English (Australian),lollipop,"lollies, lolly, lollys",-9.428397616541867,7.307228915662651,nouns,food_drink,lolly
English (Australian),long,"long, longer",-6.206643056328311,9.26689027311931,adjectives,descriptive_words,long
English (Australian),look,"look, looked, looking, looks",-3.5508889784315754,6.039704508931201,verbs,action_words,look
English (Australian),loud,"loud, loudest",-7.895704552399037,6.918234912394549,adjectives,descriptive_words,loud
English (Australian),love,"love, loved",-6.33530975441153,6.136376021798365,verbs,action_words,love
English (Australian),lunch,"lunch, lunches",-6.985658961821662,8.268668407310704,other,games_routines,lunch
English (Australian),mailman,"postman, postmans",-8.837945171987103,7.183333333333334,other,people,postman
English (Australian),make,"made, make, makes, making",-4.424874642222579,8.155963302752294,verbs,action_words,make
English (Australian),man,"man, manned, manning, mans, men",-5.853423590595705,8.419267984854859,other,people,man
English (Australian),mango,"mango, mangos",-11.681192045032898,6.676470588235294,nouns,food_drink,mango
English (Australian),meat,"meat, meats",-7.960675505975779,6.92174515235457,nouns,food_drink,meat
English (Australian),medicine,"medicine, medicines",-8.261126179066359,6.960710944808232,nouns,household,medicine
English (Australian),meow,"meow, meowed, meowing, meows",-7.90875956810068,2.9119000657462197,other,sounds,meow
English (Australian),milk,"milk, milked, milking, milks",-6.280833952951709,6.891239840020643,nouns,food_drink,milk
English (Australian),mommy,"mummies, mummy, mummys",-5.589171361981846,7.16156330749354,other,people,mummy
English (Australian),money,"money, moneys",-6.913903009568371,7.811664641555286,nouns,household,money
