"language","form","form_type","measure","lexical_class","mean","ci_lower","ci_upper","num_forms","langform","order"
"English (British)","WSShort","WS","produces","Function Words",0.103258599308408,0.0779290867008745,0.126066480673502,2,"English (British) OxfordShort","92"
"Finnish","WSShort","WS","produces","Function Words",0.111812422442664,0.0588352866355315,0.163907065152349,2,"Finnish WSShort","93"
"Finnish","WSShort","WS","produces","Nouns",-0.0736132796646309,-0.0905231451879137,-0.0559384720484962,2,"Finnish WSShort","94"
"English (British)","WSShort","WS","produces","Nouns",-0.0126464465987303,-0.018314092688337,-0.00789738288554057,2,"English (British) OxfordShort","95"
"Arabic (Saudi)","WS","WS","produces","Nouns",-0.00931185503816159,-0.0169567153967125,-0.00155197796646952,1,"Arabic (Saudi)","96"
"Kiswahili","WS","WS","produces","Nouns",0.000498126311093296,-0.0155247131387565,0.0173470015767322,1,"Kiswahili","97"
"American Sign Language","FormBOne","WS","produces","Nouns",0.0042290121535589,-0.00177874906345193,0.0107322094006019,3,"American Sign Language FormBOne","98"
"Cantonese","WS","WS","produces","Nouns",0.0122027225371242,0.00970593378288641,0.0147810641784184,1,"Cantonese","99"
"Spanish (Peruvian)","WS","WS","produces","Nouns",0.0166435651858959,0.00449477752862263,0.0298128769587947,1,"Spanish (Peruvian)","100"
"Mandarin (Beijing)","WS","WS","produces","Nouns",0.0187389137159695,0.0169496456452354,0.0206135746797648,2,"Mandarin (Beijing) WS","101"
"Mandarin (Taiwanese)","WS","WS","produces","Nouns",0.0194992074530767,0.0172324393112604,0.021916670488588,1,"Mandarin (Taiwanese)","102"
"Greek (Cypriot)","WS","WS","produces","Nouns",0.0210197920560312,0.00796952902046176,0.0339161566201931,1,"Greek (Cypriot)","103"
"Mandarin (Beijing)","TC","WS","produces","Nouns",0.0253651560735007,0.0238355488985373,0.027059819300944,2,"Mandarin (Beijing) TC","104"
"Slovak","WS","WS","produces","Nouns",0.0270891630639023,0.0241904909581469,0.0298100242460245,1,"Slovak","105"
"Turkish","WS","WS","produces","Nouns",0.031642098163999,0.027896006779567,0.035755380956553,1,"Turkish","106"
"Kigiriama","WS","WS","produces","Nouns",0.032020453778401,0.0148510787830592,0.0510952132621222,1,"Kigiriama","107"
"English (American)","WSShort","WS","produces","Nouns",0.0335778535948664,-0.0965556083373726,0.146178753249073,2,"English (American) WSShort","108"
"Japanese","WS","WS","produces","Nouns",0.0346767296159057,0.0294155867988983,0.03951320860254,1,"Japanese","109"
"Portuguese (European)","WS","WS","produces","Nouns",0.034830547432831,0.0324886741377782,0.0373263948697493,1,"Portuguese (European)","110"
"American Sign Language","FormBTwo","WS","produces","Nouns",0.0369011680938556,0.0252254119748637,0.0491921967512227,3,"American Sign Language FormBTwo","111"
"Estonian","WS","WS","produces","Nouns",0.0374834620629431,0.0350790385659498,0.0398975830315668,1,"Estonian","112"
"Irish","WS","WS","produces","Nouns",0.0376730732886469,0.0292528620473578,0.0463365989401764,1,"Irish","113"
"English (Australian)","WS","WS","produces","Nouns",0.0391549057009706,0.0364730199401248,0.0418259372880272,1,"English (Australian)","114"
"American Sign Language","FormC","WS","produces","Nouns",0.0395415521668039,0.0277438888488571,0.0505557852067699,3,"American Sign Language FormC","115"
"French (French)","WS","WS","produces","Nouns",0.0395829776224584,0.0366198803072017,0.0424329579485087,1,"French (French)","116"
"Spanish (Argentinian)","WS","WS","produces","Nouns",0.0411775234274854,0.0358673389973624,0.0461127260745642,1,"Spanish (Argentinian)","117"
"Spanish (Mexican)","WS","WS","produces","Nouns",0.0416870387329962,0.0380902562380764,0.0455554545052401,1,"Spanish (Mexican)","118"
"Spanish (European)","WS","WS","produces","Nouns",0.0458187413979283,0.0409210230163825,0.0507464131591696,1,"Spanish (European)","119"
"Hebrew","WS","WS","produces","Nouns",0.0498147820222305,0.0449605776238753,0.0544751704865674,1,"Hebrew","120"
"Czech","WS","WS","produces","Nouns",0.049816233428637,0.0445896013447369,0.055584985437174,1,"Czech","121"
"English (Irish)","WS","WS","produces","Nouns",0.0530130032633036,0.0361182667423157,0.0686018265498903,1,"English (Irish)","122"
"Swedish","WS","WS","produces","Nouns",0.0543534690530459,0.0506896939253348,0.0579754317259579,1,"Swedish","123"
"French (Quebecois)","WS","WS","produces","Nouns",0.0544046837455354,0.0515984047658055,0.0572263243274082,1,"French (Quebecois)","124"
"Italian","WS","WS","produces","Nouns",0.0572318141280914,0.0534439728671302,0.0612730264192247,1,"Italian","125"
"Russian","WS","WS","produces","Nouns",0.0575080595453684,0.053720062015848,0.0612776205064806,1,"Russian","126"
"Dutch","WS","WS","produces","Nouns",0.0590688510922491,0.0534274364200353,0.0645721370127244,2,"Dutch WS","127"
"Catalan","WS","WS","produces","Nouns",0.0629902983908749,0.0591280842294371,0.0669441809593608,1,"Catalan","128"
"Dutch","FormThree","WS","produces","Nouns",0.0646013912749888,0.0527243673708783,0.0750360827018786,2,"Dutch FormThree","129"
"Hungarian","WS","WS","produces","Nouns",0.0653440689927309,0.0603719022318381,0.0700963131239871,1,"Hungarian","130"
"Latvian","WS","WS","produces","Nouns",0.0659477549877712,0.0600272255971332,0.0715819445570048,1,"Latvian","131"
"Croatian","WS","WS","produces","Nouns",0.0677735885497117,0.0613852876820817,0.074362622501614,1,"Croatian","132"
"Norwegian","WS","WS","produces","Nouns",0.0691833491718445,0.0680173713463584,0.0703256287043107,1,"Norwegian","133"
"English (British)","WS","WS","produces","Nouns",0.0695217879800478,0.0660541292982031,0.0730708799881729,2,"English (British) Oxford CDI","134"
"English (American)","WS","WS","produces","Nouns",0.0720087236119297,0.0708394958671765,0.0732809473559426,2,"English (American) WS","135"
"Finnish","WS","WS","produces","Nouns",0.0724608483002474,0.0638404423092598,0.0804232347474456,2,"Finnish WS","136"
"Danish","WS","WS","produces","Nouns",0.0756365002702239,0.0740228777791854,0.0772182524404186,1,"Danish","137"
"Korean","WS","WS","produces","Nouns",0.0887826487548027,0.0847762902973457,0.0925886217543961,1,"Korean","138"
"German","WS","WS","produces","Nouns",0.0908293031752782,0.0882210990635644,0.0938018508967895,1,"German","139"
"Persian","WS","WS","produces","Nouns",0.127356111046,0.114213350816506,0.138610098395476,1,"Persian","140"
"Dutch","FormThree","WS","produces","Verbs",-0.134652061213626,-0.155558767276935,-0.114753962057366,2,"Dutch FormThree","141"
"Korean","WS","WS","produces","Verbs",-0.0852295265971345,-0.0902201557169215,-0.0798117488700596,1,"Korean","142"
"English (British)","WS","WS","produces","Verbs",-0.0742749792512111,-0.0813733870135696,-0.0672577078713911,2,"English (British) Oxford CDI","143"
"Hebrew","WS","WS","produces","Verbs",-0.0726393528442016,-0.0827222126072824,-0.061721323083669,1,"Hebrew","144"
"English (Australian)","WS","WS","produces","Verbs",-0.0572672951859374,-0.0624471165554162,-0.0519093272293834,1,"English (Australian)","145"
"German","WS","WS","produces","Verbs",-0.0469219031339344,-0.0520537523053849,-0.0419831045374367,1,"German","146"
"English (British)","WSShort","WS","produces","Verbs",-0.0441515589584962,-0.0552628375105303,-0.0328979585853216,2,"English (British) OxfordShort","147"
"Italian","WS","WS","produces","Verbs",-0.0358889695367309,-0.044551996126797,-0.0274095289143158,1,"Italian","148"
"French (Quebecois)","WS","WS","produces","Verbs",-0.0348806241668641,-0.0394366259646757,-0.0301067130967754,1,"French (Quebecois)","149"
"English (American)","WS","WS","produces","Verbs",-0.0311648434337394,-0.0331190090353014,-0.0291161526939213,2,"English (American) WS","150"
"Hungarian","WS","WS","produces","Verbs",-0.0308373898577725,-0.0404868776889738,-0.0224128642741436,1,"Hungarian","151"
"Greek (Cypriot)","WS","WS","produces","Verbs",-0.0300089287677824,-0.0520035307013645,-0.0102082445180296,1,"Greek (Cypriot)","152"
