"language","adj_bias","predicativeAdj","freq_mean__Nouns","freq_mean__Verbs","freq_mean__Adjectives","mlu_mean__Nouns","mlu_mean__Verbs","mlu_mean__Adjectives","freq_ratio__VerbNoun","freq_ratio__AdjNoun","mlu_ratio__VerbNoun","mlu_ratio__AdjNoun","adj_bias_z","freq_noun_z","freq_verb_z","freq_adj_z","freq_ratio_verb_z","freq_ratio_adj_z","mlu_noun_z","mlu_verb_z","mlu_adj_z","mlu_ratio_verb_z","mlu_ratio_adj_z"
"French (Quebecois)",-0.00590731869460215,"Absent",-9.43831685744544,-8.27077084702207,-8.02952844189188,7.51037548335776,7.72738984113207,7.4069701360427,1.16754601042338,1.40878841555356,1.02889527404524,0.986231667438705,1.27368961380483,-0.567209497128543,-0.634800233032801,0.731098338261618,-0.206323158772754,1.4124452927014,0.890143726880558,0.608807661629133,0.801264114318047,-0.81758038659154,-0.122732191450982
"German",-0.0706282772696873,"Absent",-9.45610125323417,-8.5326926556142,-8.38634121532431,6.91224012420027,7.47436129049643,6.86323078274329,0.92340859761997,1.06976003790986,1.08132257505467,0.992909774461482,-0.517422905734459,-0.602233004058652,-1.05251720567476,0.0768052918230258,-0.664161238707935,0.715129957491761,0.315920383862895,0.388436198673419,0.302606638695098,0.294546203733377,-0.0214516495971876
"Hebrew",-0.105588391554615,"Absent",-8.80632442870582,-8.08043188157653,-8.17772995291132,5.90954085913058,6.48451923656563,6.2787526967865,0.725892547129286,0.628594475794502,1.09729662441485,1.06247724594128,-1.48492245702144,0.677397936865205,-0.331244691594401,0.459338958128133,-1.03456890492603,-0.192261671396361,-0.646693371058195,-0.473652055683039,-0.233411887702898,0.63339952455243,1.03361248502075
"Hungarian",-0.0651313032828918,"Absent",-9.11203791005088,-8.26825901606222,-8.4433292134206,7.1494835894862,7.36701475886129,7.33132117580066,0.843778893988658,0.668708696630272,1.03042613730801,1.02543366720666,-0.365297548754326,0.075344408608575,-0.630794325964675,-0.0276944729308243,-0.813493166976236,-0.109754532781064,0.5436794247888,0.294944329237214,0.731887271683995,-0.785106585577646,0.471807513394855
"Irish",0.0093427839672673,"Absent",-9.3550668003099,-8.97667879168647,-8.91529471401037,6.64830856324448,7.93917185696391,7.31331481778664,0.37838800862343,0.439772086299522,1.19416416693654,1.10002638238223,1.69572677770507,-0.403261900164535,-1.76059319847575,-0.893144838466216,-1.6862543997928,-0.580632546840161,0.0625401732808366,0.793256066915142,0.715373835645294,2.68822530622739,1.60308477288782
"Italian",-0.0711170534514564,"Absent",-9.49123964660385,-8.34684791500885,-9.08807392497651,7.45139654696106,7.68856662484683,7.25864847276881,1.144391731595,0.403165721627342,1.03182894325796,0.974132624270163,-0.530949484414587,-0.671432417877122,-0.756129123886639,-1.20997272334488,-0.24974505973967,-0.655924708604311,0.8335226268121,0.574995157277623,0.665239922323199,-0.755349230765107,-0.306226951843846
"Japanese",0.0071470535147371,"Present",-8.92946538825788,-8.2473462851388,-8.00893132962448,7.1557000010601,7.24105993273249,6.73669473964084,0.682119103119085,0.920534058633402,1.0119289421943,0.941444546116077,1.63496129478197,0.434891623944218,-0.597442377541741,0.7688675784254,-1.11665853358085,0.408201185085262,0.54964731914731,0.185245841732117,0.186561803157799,-1.17748273571919,-0.801976159862442
"Korean",-0.0497914544658972,"Present",-7.97857563589307,-7.8468196821696,-7.92724530790561,4.96611618559735,5.45917583650499,4.53562997313604,0.131755953723467,0.0513303279874586,1.099284759454,0.913315315958614,0.0592232845099667,2.3075160429771,0.0413236761677858,0.918656487291383,-2.1487707555174,-1.37958158110495,-1.55240219035398,-1.36665968085308,-1.83201087047308,0.675573311865899,-1.2285856260721
"Mandarin (Beijing)",0.00608669469346437,"Present",-9.53875042786472,-7.83854913964428,-8.13012292905194,6.13514030065216,6.7952251468159,6.29687529348389,1.70020128822044,1.40862749881277,1.10759083147513,1.0263620691469,1.60561651989298,-0.764997259579505,0.0545136659756393,0.546636686774952,0.792580970068492,1.41211431830974,-0.430112853772085,-0.203047351910154,-0.21679185042582,0.851767839869394,0.48588770876235
"Mandarin (Taiwanese)",-0.0547924153407705,"Present",-8.95004602714827,-6.7181372255267,-9.95876434431354,6.14447830693375,6.57317963475565,5.80773084178001,2.23190880162157,-1.00871831716527,1.06977017517307,0.945195108789995,-0.0791752162217558,0.394361365994143,1.8413640065136,-2.80657107797413,1.78970772842694,-3.55989516273095,-0.421148158570504,-0.39643459699591,-0.665380932715985,0.0494881739850509,-0.745094918130997
