"language","lexical_category","freq_mean","bias","bias_type","predicativeAdj"
"English (British)","Adjectives",-7.63508324435698,-0.0742749792512111,"Verb bias",NA
"English (Irish)","Nouns",-8.90323091637603,0.0118515059847249,"Verb bias",NA
"English (Irish)","Verbs",-7.55864347672639,0.0118515059847249,"Verb bias",NA
"English (Irish)","Adjectives",-8.26756959828872,0.0118515059847249,"Verb bias",NA
"Estonian","Nouns",-9.03016756496009,-0.00756414348407079,"Verb bias",NA
"Estonian","Verbs",-7.41059316581964,-0.00756414348407079,"Verb bias",NA
"Estonian","Adjectives",-8.2396507023004,-0.00756414348407079,"Verb bias",NA
"Finnish","Nouns",-9.36519144721979,-0.0239390419513887,"Verb bias",NA
"Finnish","Verbs",-8.66481492124656,-0.0239390419513887,"Verb bias",NA
"Finnish","Adjectives",-8.9358678229969,-0.0239390419513887,"Verb bias",NA
"French (French)","Nouns",-9.60985382616899,-0.00959342969903289,"Verb bias",NA
"French (French)","Verbs",-8.6315956661032,-0.00959342969903289,"Verb bias",NA
"French (French)","Adjectives",-8.12030482227608,-0.00959342969903289,"Verb bias",NA
"French (Quebecois)","Nouns",-9.43831685744544,-0.0348806241668641,"Verb bias",NA
"French (Quebecois)","Verbs",-8.27077084702207,-0.0348806241668641,"Verb bias",NA
"French (Quebecois)","Adjectives",-8.02952844189188,-0.0348806241668641,"Verb bias",NA
"German","Nouns",-9.45610125323417,-0.0469219031339344,"Verb bias",NA
"German","Verbs",-8.5326926556142,-0.0469219031339344,"Verb bias",NA
"German","Adjectives",-8.38634121532431,-0.0469219031339344,"Verb bias",NA
"Hebrew","Nouns",-8.80632442870582,-0.0726393528442016,"Verb bias",NA
"Hebrew","Verbs",-8.08043188157653,-0.0726393528442016,"Verb bias",NA
"Hebrew","Adjectives",-8.17772995291132,-0.0726393528442016,"Verb bias",NA
"Hungarian","Nouns",-9.11203791005088,-0.0308373898577725,"Verb bias",NA
"Hungarian","Verbs",-8.26825901606222,-0.0308373898577725,"Verb bias",NA
"Hungarian","Adjectives",-8.4433292134206,-0.0308373898577725,"Verb bias",NA
