"language","Noun.Dim1","Noun.Dim2","Noun.Dim3","Verb.Dim1","Verb.Dim2","Verb.Dim3","Adj.Dim1","Adj.Dim2","Adj.Dim3","Noun.Dim1_z","Noun.Dim2_z","Noun.Dim3_z","Verb.Dim1_z","Verb.Dim2_z","Verb.Dim3_z","Adj.Dim1_z","Adj.Dim2_z","Adj.Dim3_z"
"French (French)",-0.569410366772439,-0.384918551801346,0.257640574405573,-0.443787924246422,-0.200175703004039,0.0164361249971997,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.801169418439807,-0.626746052406679,0.459004541090134,-0.665476595783627,-0.328869544784834,0.0317272103399553,0.319387129461983,-1.2641398140544,-0.408238867184361
"Spanish (Mexican)",-0.399083842047894,-0.165438334335128,0.352239512561695,-0.190275450514529,0.550175307212203,-0.601426395178863,0.233074211627796,-0.828569156436407,-0.211106001197755,-0.561517296312266,-0.269376008186766,0.627539106331442,-0.285325156795601,0.903885437240516,-1.16095379823966,0.319387129461983,-1.2641398140544,-0.408238867184359
"Spanish (Argentinian)",-0.399083842047894,-0.165438334335128,0.352239512561695,-0.190275450514529,0.550175307212203,-0.601426395178863,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.561517296312266,-0.269376008186766,0.627539106331442,-0.285325156795601,0.903885437240516,-1.16095379823966,0.319387129461983,-1.2641398140544,-0.408238867184361
"Spanish (European)",-0.399083842047894,-0.165438334335128,0.352239512561695,-0.190275450514529,0.550175307212203,-0.601426395178863,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.561517296312266,-0.269376008186766,0.627539106331442,-0.285325156795601,0.903885437240516,-1.16095379823966,0.319387129461983,-1.2641398140544,-0.408238867184361
"Czech",0.224430885323443,-0.143720700869559,-0.467542153865887,-0.637816310507034,0.558278017534658,0.488482865540708,-0.520905391681137,0.219964067792764,-0.164941363661946,0.315777815731923,-0.234014134932122,-0.832958753762435,-0.956429420138543,0.917197415743798,0.942935066818643,-0.713809033648009,0.335597015165428,-0.318965235811177
"Hebrew",-0.485596525258008,-0.213050758224465,0.317372989816795,-0.637816310507033,0.558278017534658,0.488482865540707,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.68324201391442,-0.346901236779949,0.565421979365491,-0.956429420138542,0.917197415743799,0.942935066818642,0.319387129461982,-1.2641398140544,-0.408238867184361
"English (Irish)",-0.360753491733949,-0.410075788622095,-0.01304024926901,-0.283208645627497,-0.671669648656844,0.00945289178858085,-0.520905391681137,0.219964067792764,-0.164941363661946,-0.50758588539735,-0.667708481453231,-0.0232321079287788,-0.424681959764248,-1.10348902631359,0.0182472380897711,-0.713809033648009,0.335597015165428,-0.318965235811177
"Russian",0.140617043809012,-0.315588494446439,-0.527274569277109,-0.616486842081986,-0.380135775916371,0.498166518083567,-0.520905391681137,0.219964067792764,-0.164941363661946,0.197850411206535,-0.513858950558853,-0.939376192037792,-0.924445084238736,-0.62452674178706,0.961627750230256,-0.71380903364801,0.335597015165428,-0.318965235811177
"French (Quebecois)",-0.569410366772439,-0.384918551801346,0.257640574405573,-0.443787924246422,-0.200175703004039,0.0164361249971991,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.801169418439807,-0.626746052406679,0.459004541090134,-0.665476595783627,-0.328869544784834,0.0317272103399541,0.319387129461983,-1.2641398140544,-0.408238867184361
"Swedish",-0.360753491733949,-0.410075788622095,-0.01304024926901,0.25946664739198,-0.657033276774532,0.0683591062651699,-0.520905391681137,0.219964067792764,-0.164941363661946,-0.50758588539735,-0.667708481453231,-0.0232321079287788,0.389079945154,-1.07944286643504,0.131955904660978,-0.71380903364801,0.335597015165428,-0.318965235811177
